现在的角度[0],现在的速度[0],现在的力矩[0],下个时刻的角度[0],下个时刻的速度[0],现在的角度[1],现在的速度[1],现在的力矩[1],下个时刻的角度[1],下个时刻的速度[1],现在的角度[2],现在的速度[2],现在的力矩[2],下个时刻的角度[2],下个时刻的速度[2],现在的角度[3],现在的速度[3],现在的力矩[3],下个时刻的角度[3],下个时刻的速度[3]
-0.0276136,-0.000167509,-3.28179,0,0,-44.6251,-107.135,-5.67214,0,0,-33.3006,-51.1966,-7,0,0,-117.161,-327.894,-7,0,0
-0.0276476,-0.000113367,-3.3094,0,0,-44.9764,-107.475,-5.70112,0,0,-33.6592,-51.5003,-7.05,0,0,-118.227,-330.244,-7.05,0,0
-0.0276706,-7.67253e-005,-3.33867,0,0,-45.3249,-107.818,-5.73083,0,0,-34.0206,-51.8119,-7.1,0,0,-119.285,-332.538,-7.1,0,0
-0.0276862,-5.19265e-005,-3.39347,0,0,-45.6916,-108.258,-5.80116,0,0,-34.3918,-52.1457,-7.2,0,0,-120.359,-334.918,-7.2,0,0
-0.0276968,-3.5143e-005,-3.46832,0,0,-46.3558,-110.856,-5.79937,0,0,-35.1289,-54.1332,-7.25,0,0,-122.479,-343.095,-7.25,0,0
-0.0277039,-2.37843e-005,-3.51137,0,0,-46.9157,-109.427,-5.82881,0,0,-35.7397,-53.8363,-7.3,0,0,-124.333,-344.484,-7.3,0,0
-0.0277087,-1.60968e-005,-3.55219,0,0,-47.4093,-109.251,-5.86193,0,0,-36.2656,-53.7369,-7.35,0,0,-125.882,-345.75,-7.35,0,0
-0.027712,-1.08941e-005,-3.62029,0,0,-47.871,-109.405,-5.93424,0,0,-36.739,-53.7852,-7.45,0,0,-127.282,-347.558,-7.45,0,0
-0.0277142,-7.37294e-006,-3.66575,0,0,-48.3014,-110.822,-5.96724,0,0,-37.1717,-54.3695,-7.5,0,0,-128.546,-351.78,-7.5,0,0
-0.0277157,-4.98989e-006,-3.71455,0,0,-48.7,-111.07,-5.99952,0,0,-37.5754,-54.5401,-7.55,0,0,-129.761,-353.933,-7.55,0,0
